Date,Price,Open,High,Low,Vol.,Change %
2025-01-09,1245.77,1251.02,1253.26,1242.9,336330.0,-0.42
2025-01-08,1251.02,1246.95,1251.02,1239.67,445750.0,0.33
2025-01-07,1246.95,1249.19,1254.09,1243.06,560060.0,0.05
2025-01-06,1246.35,1254.59,1260.37,1244.87,565150.0,-0.66
2025-01-03,1254.59,1268.74,1269.01,1254.59,560470.0,-1.19
2025-01-02,1269.71,1266.78,1271.13,1263.25,428140.0,0.23
2024-12-31,1266.78,1272.25,1272.46,1266.78,480540.0,-0.41
2024-12-30,1272.02,1275.14,1275.14,1268.77,527660.0,-0.24
2024-12-27,1275.14,1272.87,1277.89,1272.23,670320.0,0.18
2024-12-26,1272.87,1275.68,1277.17,1271.99,595220.0,-0.09
2024-12-25,1274.04,1260.81,1283.09,1260.81,810460.0,1.09
2024-12-24,1260.36,1262.76,1263.17,1253.78,643160.0,-0.19
2024-12-23,1262.76,1257.5,1265.2,1257.5,494700.0,0.42
2024-12-20,1257.5,1254.67,1259.0,1253.9,568920.0,0.23
2024-12-19,1254.67,1256.9,1259.76,1249.39,779410.0,-0.89
2024-12-18,1266.0,1261.72,1266.53,1261.49,531460.0,0.34
2024-12-17,1261.72,1263.79,1265.45,1260.6,502250.0,-0.16
2024-12-16,1263.79,1262.57,1267.1,1258.65,538930.0,0.1
2024-12-13,1262.57,1267.35,1267.35,1260.48,478790.0,-0.38
2024-12-12,1267.35,1268.86,1275.64,1265.99,554120.0,-0.12
2024-12-11,1268.86,1273.23,1276.67,1264.15,627530.0,-0.25
2024-12-10,1272.07,1273.84,1277.32,1270.32,631450.0,-0.14
2024-12-09,1273.84,1270.14,1277.69,1268.69,761000.0,0.29
2024-12-06,1270.14,1270.96,1276.1,1268.58,694790.0,0.21
2024-12-05,1267.53,1241.81,1269.18,1238.49,908390.0,2.19
2024-12-04,1240.41,1249.83,1249.83,1239.82,575020.0,-0.75
2024-12-03,1249.83,1251.21,1253.83,1244.91,673400.0,-0.11
2024-12-02,1251.21,1250.46,1258.05,1247.74,497420.0,0.06
2024-11-29,1250.46,1242.51,1250.92,1241.0,502810.0,0.67
2024-11-28,1242.11,1246.37,1250.46,1240.91,477490.0,0.01
2024-11-27,1241.97,1242.13,1245.34,1239.23,428810.0,-0.01
2024-11-26,1242.13,1234.7,1246.83,1234.7,575100.0,0.6
2024-11-25,1234.7,1228.1,1236.57,1228.1,497810.0,0.54
2024-11-22,1228.1,1228.33,1233.42,1226.33,534440.0,-0.02
2024-11-21,1228.33,1216.54,1228.55,1214.06,482150.0,0.97
2024-11-20,1216.54,1205.15,1222.73,1197.99,767530.0,0.95
2024-11-19,1205.15,1217.12,1221.4,1205.15,511890.0,-0.98
2024-11-18,1217.12,1218.57,1225.38,1204.6,646150.0,-0.12
2024-11-15,1218.57,1229.36,1229.59,1217.03,750570.0,-1.08
2024-11-14,1231.89,1246.04,1247.07,1231.69,692590.0,-1.14
2024-11-13,1246.04,1244.82,1247.04,1234.62,660550.0,0.1
2024-11-12,1244.82,1250.32,1257.02,1242.91,600650.0,-0.44
2024-11-11,1250.32,1253.81,1253.87,1241.29,796480.0,-0.18
2024-11-08,1252.56,1259.75,1264.09,1250.77,555500.0,-0.57
2024-11-07,1259.75,1261.28,1267.09,1259.75,499260.0,-0.12
2024-11-06,1261.28,1251.22,1262.44,1250.57,566910.0,1.25
2024-11-05,1245.76,1244.71,1248.97,1243.55,416470.0,0.08
2024-11-04,1244.71,1254.89,1256.96,1242.36,709670.0,-0.81
2024-11-01,1254.89,1264.48,1264.67,1254.33,580510.0,-0.76
2024-10-31,1264.48,1258.63,1267.88,1255.55,614270.0,0.46
2024-10-30,1258.63,1261.78,1264.84,1255.07,536850.0,-0.25
2024-10-29,1261.78,1258.03,1262.38,1257.43,875050.0,0.56
2024-10-28,1254.77,1252.72,1255.18,1250.94,482690.0,0.16
2024-10-25,1252.72,1257.41,1261.72,1251.75,569100.0,-0.37
2024-10-24,1257.41,1271.17,1274.11,1257.41,673140.0,-1.06
2024-10-23,1270.9,1270.58,1273.21,1263.26,589860.0,0.08
2024-10-22,1269.89,1280.21,1280.21,1265.44,793920.0,-0.77
2024-10-21,1279.77,1284.17,1287.71,1279.77,622810.0,-0.44
2024-10-18,1285.46,1291.16,1294.1,1285.46,689070.0,-0.08
2024-10-17,1286.52,1279.48,1286.52,1271.82,685240.0,0.55
2024-10-16,1279.48,1279.86,1283.33,1276.4,536680.0,-0.12
2024-10-15,1281.08,1287.81,1294.05,1279.81,712090.0,-0.41
2024-10-14,1286.34,1288.39,1297.67,1286.13,795710.0,-0.16
2024-10-11,1288.39,1286.36,1289.37,1283.56,531740.0,0.16
2024-10-10,1286.36,1281.85,1294.33,1281.85,720090.0,0.35
2024-10-09,1281.85,1273.96,1283.01,1273.04,676890.0,0.78
2024-10-08,1271.98,1269.93,1275.82,1266.94,678710.0,0.16
2024-10-07,1269.93,1270.6,1278.61,1264.65,542590.0,-0.05
2024-10-04,1270.6,1278.9,1279.33,1270.6,610070.0,-0.59
2024-10-03,1278.1,1287.84,1299.36,1276.51,1040000.0,-0.76
2024-10-02,1287.84,1292.2,1293.69,1285.14,771120.0,-0.34
2024-10-01,1292.2,1287.94,1302.22,1287.94,982290.0,0.33
2024-09-30,1287.94,1290.92,1292.03,1283.92,748400.0,-0.23
2024-09-27,1290.92,1295.03,1300.31,1287.21,950800.0,-0.04
2024-09-26,1291.49,1290.03,1298.71,1289.15,956800.0,0.31
2024-09-25,1287.48,1276.99,1288.44,1276.99,992830.0,0.82
2024-09-24,1276.99,1268.48,1276.99,1266.68,817540.0,0.67
2024-09-23,1268.48,1275.15,1276.99,1267.87,564220.0,-0.28
2024-09-20,1272.04,1271.27,1283.3,1271.27,898260.0,0.06
2024-09-19,1271.27,1264.9,1271.27,1264.82,607580.0,0.5
2024-09-18,1264.9,1258.95,1271.77,1257.93,799780.0,0.47
2024-09-17,1258.95,1239.26,1258.95,1238.69,632200.0,1.59
2024-09-16,1239.26,1251.71,1255.42,1239.26,608010.0,-0.99
2024-09-13,1251.71,1256.35,1256.35,1248.78,482060.0,-0.37
2024-09-12,1256.35,1253.27,1260.93,1253.27,433680.0,0.25
2024-09-11,1253.27,1255.23,1256.86,1244.79,583750.0,-0.16
2024-09-10,1255.23,1267.73,1271.83,1252.22,690100.0,-0.99
2024-09-09,1267.73,1273.96,1273.96,1262.97,497550.0,-0.49
2024-09-06,1273.96,1268.21,1274.44,1262.94,637090.0,0.45
2024-09-05,1268.21,1275.8,1282.21,1266.05,665630.0,-0.59
2024-09-04,1275.8,1283.87,1283.87,1268.43,648410.0,-0.63
2024-08-30,1283.87,1281.47,1286.84,1281.47,571600.0,0.19
2024-08-29,1281.47,1281.44,1288.2,1280.24,634090.0,0.0
2024-08-28,1281.44,1280.56,1285.72,1276.9,717620.0,0.07
2024-08-27,1280.56,1280.02,1282.92,1274.7,660800.0,0.04
2024-08-26,1280.02,1285.32,1290.45,1278.72,775470.0,-0.41
2024-08-23,1285.32,1282.78,1287.43,1276.43,724870.0,0.2
2024-08-22,1282.78,1284.05,1288.42,1280.42,687370.0,-0.1
2024-08-21,1284.05,1272.55,1284.05,1268.91,836420.0,0.9
2024-08-20,1272.55,1261.62,1275.95,1261.62,810160.0,0.87
2024-08-19,1261.62,1252.23,1263.84,1252.23,698630.0,0.75
2024-08-16,1252.23,1223.56,1253.24,1223.56,965060.0,2.34
2024-08-15,1223.56,1230.36,1231.69,1222.28,497060.0,-0.55
